#2th	#Int
13.0430	2509.0270
13.0440	2508.7624
13.0450	2507.1196
13.0460	2505.9206
13.0470	2505.7515
13.0480	2506.2031
13.0490	2507.0230
13.0500	2506.6254
13.0510	2506.8297
13.0520	2505.3672
13.0530	2506.0763
13.0540	2505.9732
13.0550	2504.1914
13.0560	2501.3938
13.0570	2497.8271
13.0580	2496.8893
13.0590	2496.9012
13.0600	2495.2039
13.0610	2495.8325
13.0620	2496.0944
13.0630	2495.8206
13.0640	2498.1301
13.0650	2494.8206
13.0660	2495.2390
13.0670	2495.2175
13.0680	2494.1128
13.0690	2492.1303
13.0700	2494.0437
13.0710	2495.4651
13.0720	2496.1497
13.0730	2497.2075
13.0740	2497.1677
13.0750	2497.7029
13.0760	2498.4604
13.0770	2500.8235
13.0780	2501.3575
13.0790	2502.2504
13.0800	2500.9545
13.0810	2501.8640
13.0820	2501.1442
13.0830	2501.4333
13.0840	2497.8261
13.0850	2496.9333
13.0860	2496.0166
13.0870	2496.9342
13.0880	2496.0739
13.0890	2496.3001
13.0900	2499.7780
13.0910	2497.5447
13.0920	2494.3708
13.0930	2492.5494
13.0940	2490.7447
13.0950	2489.9760
13.0960	2490.5560
13.0970	2490.0603
13.0980	2488.7329
13.0990	2489.3418
13.1000	2487.8894
13.1010	2486.7250
13.1020	2486.7354
13.1030	2485.9235
13.1040	2484.6854
13.1050	2486.7032
13.1060	2487.2151
13.1070	2487.3401
13.1080	2485.5399
13.1090	2485.5288
13.1100	2483.9692
13.1110	2479.2056
13.1120	2479.3080
13.1130	2478.3509
13.1140	2480.3957
13.1150	2482.9522
13.1160	2482.0607
13.1170	2481.3154
13.1180	2482.2780
13.1190	2481.1272
13.1200	2481.4980
13.1210	2482.1170
13.1220	2483.3869
13.1230	2484.1892
13.1240	2485.6082
13.1250	2484.2868
13.1260	2484.4951
13.1270	2482.5471
13.1280	2483.2746
13.1290	2482.5286
13.1300	2481.1619
13.1310	2483.3728
13.1320	2484.5446
13.1330	2485.1676
13.1340	2486.7900
13.1350	2484.6261
13.1360	2482.3149
13.1370	2482.2580
13.1380	2481.3961
13.1390	2479.2550
13.1400	2481.6200
13.1410	2480.7279
13.1420	2479.7239
13.1430	2477.3509
13.1440	2475.4918
13.1450	2475.1346
13.1460	2475.0343
13.1470	2472.8041
13.1480	2473.4784
13.1490	2475.3758
13.1500	2474.5980
13.1510	2474.3933
13.1520	2472.9562
13.1530	2473.1535
13.1540	2471.1281
13.1550	2470.7516
13.1560	2471.6366
13.1570	2473.5872
13.1580	2474.4384
13.1590	2475.5201
13.1600	2475.5701
13.1610	2472.6177
13.1620	2470.9248
13.1630	2472.4764
13.1640	2473.8971
13.1650	2472.0935
13.1660	2471.5697
13.1670	2470.9438
13.1680	2470.9184
13.1690	2469.0104
13.1700	2466.2068
13.1710	2466.4909
13.1720	2466.8242
13.1730	2467.8327
13.1740	2466.8898
13.1750	2466.4470
13.1760	2464.4748
13.1770	2462.3636
13.1780	2459.9606
13.1790	2457.2403
13.1800	2454.9385
13.1810	2454.4446
13.1820	2456.1668
13.1830	2457.3996
13.1840	2457.4294
13.1850	2455.3103
13.1860	2457.8044
13.1870	2456.2044
13.1880	2456.3552
13.1890	2458.1822
13.1900	2457.9116
13.1910	2457.8223
13.1920	2457.6216
13.1930	2455.9550
13.1940	2454.8125
13.1950	2455.7298
13.1960	2454.8012
13.1970	2455.4559
13.1980	2457.1405
13.1990	2458.1014
13.2000	2458.1192
13.2010	2457.8871
13.2020	2456.6048
13.2030	2455.9421
13.2040	2457.0426
13.2050	2454.9890
13.2060	2457.4414
13.2070	2457.2060
13.2080	2458.1631
13.2090	2459.2346
13.2100	2457.8536
13.2110	2458.9905
13.2120	2457.6834
13.2130	2458.0745
13.2140	2459.8126
13.2150	2458.3870
13.2160	2456.7103
13.2170	2458.5793
13.2180	2458.1984
13.2190	2455.6210
13.2200	2454.6530
13.2210	2455.1793
13.2220	2456.6317
13.2230	2457.6651
13.2240	2457.2110
13.2250	2455.5026
13.2260	2455.7979
13.2270	2454.1618
13.2280	2452.3198
13.2290	2448.4508
13.2300	2447.8714
13.2310	2447.5262
13.2320	2446.1631
13.2330	2447.7440
13.2340	2447.6942
13.2350	2447.2100
13.2360	2447.1949
13.2370	2448.7068
13.2380	2446.7357
13.2390	2447.1960
13.2400	2448.8746
13.2410	2448.5722
13.2420	2450.2304
13.2430	2447.4685
13.2440	2446.2447
13.2450	2445.2702
13.2460	2444.9904
13.2470	2443.1509
13.2480	2442.8658
13.2490	2443.1943
13.2500	2445.5422
13.2510	2445.0303
13.2520	2444.2361
13.2530	2444.4067
13.2540	2441.8115
13.2550	2440.8988
13.2560	2442.0258
13.2570	2442.7076
13.2580	2438.8862
13.2590	2436.7739
13.2600	2436.7984
13.2610	2436.3877
13.2620	2437.4261
13.2630	2435.2856
13.2640	2436.1836
13.2650	2436.6062
13.2660	2436.0501
13.2670	2435.9525
13.2680	2437.4491
13.2690	2436.4179
13.2700	2437.0179
13.2710	2436.0629
13.2720	2436.4796
13.2730	2435.6809
13.2740	2435.3289
13.2750	2437.1027
13.2760	2436.9890
13.2770	2433.4413
13.2780	2432.8053
13.2790	2435.4720
13.2800	2437.7720
13.2810	2434.8823
13.2820	2433.3566
13.2830	2431.3301
13.2840	2431.9110
13.2850	2431.2036
13.2860	2434.4357
13.2870	2434.4889
13.2880	2433.0617
13.2890	2430.8522
13.2900	2431.3318
13.2910	2431.3854
13.2920	2432.8990
13.2930	2431.5359
13.2940	2433.3669
13.2950	2432.8220
13.2960	2433.5125
13.2970	2432.7215
13.2980	2433.0072
13.2990	2431.5837
13.3000	2432.7385
13.3010	2430.1052
13.3020	2430.7718
13.3030	2433.1845
13.3040	2434.7084
13.3050	2436.6845
13.3060	2434.6369
13.3070	2433.5774
13.3080	2433.2558
13.3090	2433.0265
13.3100	2432.8075
13.3110	2431.7644
